Entry	Entry Name	Protein names	Gene Names	Organism	Length	Keywords
P81436	OGT1_RABIT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	Oryctolagus cuniculus (Rabbit)	1046	Acetylation;Biological rhythms;Chromatin regulator;Cytoplasm;Direct protein sequencing;Glycoprotein;Glycosyltransferase;Lipid-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;TPR repeat;Transferase;Ubl conjugation
P83337	OFUT1_CRIGR	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)	POFUT1	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	392	Carbohydrate metabolism;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Fucose metabolism;Glycoprotein;Glycosyltransferase;Notch signaling pathway;Reference proteome;Transferase
P85973	PNPH_RAT	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	Pnp Np	Rattus norvegicus (Rat)	289	Acetylation;Cytoplasm;Glycosyltransferase;Purine salvage;Reference proteome;Transferase
P97259	MGT5A_CRIGR	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]	MGAT5	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	740	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P97325	SIAT6_MOUSE	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.3.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6)	St3gal3 Siat3 Siat6	Mus musculus (Mouse)	374	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P97353	SEC1_MOUSE	Galactoside 2-alpha-L-fucosyltransferase Sec1 (EC 2.4.1.-) (Alpha(1,2)FT 3) (GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase 3) (Secretory blood group protein 1)	Sec1 Fut3	Mus musculus (Mouse)	368	Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid metabolism;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P97402	GCNT2_MOUSE	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT) (Large I antigen-forming beta-1,6-N-acetylglucosaminyltransferase)	Gcnt2	Mus musculus (Mouse)	401	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P97464	EXT1_MOUSE	Exostosin-1 (EC 2.4.1.225) (Exostosin glycosyltransferase 1) (Multiple exostoses protein 1 homolog) (N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase)	Ext1	Mus musculus (Mouse)	746	Disulfide bond;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P97995	CHS5_ASPFM	Chitin synthase E (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase E) (Class-V chitin synthase E)	chsE	Aspergillus fumigatus (Neosartorya fumigata)	1752	Actin-binding;ATP-binding;Cell membrane;Glycoprotein;Glycosyltransferase;Membrane;Motor protein;Myosin;Nucleotide-binding;Transferase;Transmembrane;Transmembrane helix
P9WHQ9	HGPRT_MYCTU	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	hpt hprT Rv3624c MTCY15C10.28	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	202	3D-structure;Cytoplasm;Glycosyltransferase;Magnesium;Metal-binding;Nucleotide-binding;Purine salvage;Reference proteome;Transferase
P9WMW9	GPGS_MYCTU	Glucosyl-3-phosphoglycerate synthase (GpgS) (EC 2.4.1.266) (Retaining glucosyltransferase)	gpgS Rv1208	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	324	3D-structure;Calcium;Cobalt;Glycosyltransferase;Iron;Magnesium;Manganese;Metal-binding;Reference proteome;Transferase
P9WMX3	GLFT1_MYCTU	Galactofuranosyltransferase GlfT1 (GalTr 1) (EC 2.4.1.287) (Arabinogalactan galactosyltransferase 1) (Rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,4/1,5-galactofuranosyltransferase) (UDP-Galf:alpha-3-L-rhamnosyl-alpha-D-GlcNAc-pyrophosphate polyprenol, galactofuranosyl transferase)	glfT1 Rv3782	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	304	Cell membrane;Cell wall;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Reference proteome;Secreted;Transferase
P9WMY3	WBBL_MYCTU	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase (EC 2.4.1.289) (Rhamnosyltransferase WbbL) (dTDP-Rha:alpha-D-GlcNAc-pyrophosphate polyprenol, alpha-3-L-rhamnosyltransferase)	wbbL wbbL1 Rv3265c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	307	Direct protein sequencing;Glycosyltransferase;Reference proteome;Transferase
P9WMZ1	GLGM_MYCTU	Alpha-maltose-1-phosphate synthase (M1P synthase) (EC 2.4.1.342) (ADP-alpha-D-glucose:alpha-D-glucose-1-phosphate 4-alpha-D-glucosyltransferase) (M1P-producing glucosyltransferase)	glgM glgA Rv1212c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	387	Capsule biogenesis/degradation;Carbohydrate metabolism;Glycosyltransferase;Reference proteome;Transferase
P9WMZ5	PIMA_MYCTU	Phosphatidyl-myo-inositol mannosyltransferase (EC 2.4.1.345) (Alpha-mannosyltransferase) (GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase)	pimA Rv2610c MTCY01A10.23	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	378	Cell membrane;Glycosyltransferase;Lipid biosynthesis;Lipid metabolism;Magnesium;Membrane;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Virulence
P9WN03	AFTA_MYCTU	Galactan 5-O-arabinofuranosyltransferase (EC 2.4.2.46) (Arabinofuranosyltransferase AftA)	aftA Rv3792	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	643	3D-structure;Cell membrane;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P9WN05	PMT_MYCTU	Polyprenol-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.-) (MtPMT) (PMTub) (Protein O-mannosyltransferase) (PMT)	pmt Rv1002c MTCI237.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	522	Cell membrane;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P9WN11	OTSA_MYCTU	Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (EC 2.4.1.347) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA)	otsA Rv3490	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	500	Glycosyltransferase;Reference proteome;Transferase
P9WN45	GLGB_MYCTU	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen-branching enzyme) (BE)	glgB Rv1326c MTCY130.11c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	731	3D-structure;Capsule biogenesis/degradation;Carbohydrate metabolism;Disulfide bond;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
P9WN99	RODA_MYCTU	Peptidoglycan glycosyltransferase RodA (EC 2.4.99.28) (Non-canonical transglycosylase RodA)	rodA Rv0017c MTCY10H4.17c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	469	Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Peptidoglycan synthesis;Phosphoprotein;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P9WNL7	EMBB_MYCTU	Probable arabinosyltransferase B (EC 2.4.2.-)	embB Rv3795 MTCY13D12.29	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1098	3D-structure;Antibiotic resistance;Cell membrane;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix
P9WQ17	GLGE_MYCTU	Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase (GMPMT) (EC 2.4.99.16) ((1->4)-alpha-D-glucan:maltose-1-phosphate alpha-D-maltosyltransferase) ((1->4)-alpha-D-glucan:phosphate alpha-D-maltosyltransferase)	glgE Rv1327c MTCY130.12c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	701	Carbohydrate metabolism;Glycogen biosynthesis;Glycogen metabolism;Glycosyltransferase;Reference proteome;Transferase
Q00310	MNT1_CANAL	Glycolipid 2-alpha-mannosyltransferase 1 (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase 1)	MNT1 KRE2 KTR1 CAALFM_C301810CA CaO19.1665 CaO19.9234	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	431	Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q00757	CHSB_EMENI	Chitin synthase B (EC 2.4.1.16) (Chitin-UDP acetyl-glucosaminyl transferase B) (Class-III chitin synthase B)	chsB AN2523	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)	916	Cell membrane;Cell wall biogenesis/degradation;Glycosyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix;Zymogen
Q00764	TPS1_YEAST	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit (EC 2.4.1.15) (General glucose sensor subunit 1) (Glycogen metabolism control protein GLC6) (Trehalose synthase complex catalytic subunit TPS1) (Trehalose-6-phosphate synthase) (UDP-glucose-glucosephosphate glucosyltransferase)	TPS1 BYP1 CIF1 FDP1 GGS1 GLC6 TSS1 YBR126C YBR0922	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	495	Cytoplasm;Direct protein sequencing;Glycosyltransferase;Reference proteome;Stress response;Transferase
Q00917	SUS2_ARATH	Sucrose synthase 2 (AtSUS2) (EC 2.4.1.13) (Sucrose-UDP glucosyltransferase 2)	SUS2 SSA At5g49190 K21P3.6	Arabidopsis thaliana (Mouse-ear cress)	807	Cytoplasm;Glycosyltransferase;Membrane;Plastid;Reference proteome;Stress response;Transferase
Q00973	B4GN1_HUMAN	Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)	B4GALNT1 GALGT SIAT2	Homo sapiens (Human)	533	3D-structure;Alternative splicing;Disease variant;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Hereditary spastic paraplegia;Lipid metabolism;Membrane;Neurodegeneration;Proteomics identification;Reference proteome;Signal-anchor;Sphingolipid metabolism;Transferase;Transmembrane;Transmembrane helix
Q01401	GLGB_ORYSJ	1,4-alpha-glucan-branching enzyme, chloroplastic/amyloplastic (EC 2.4.1.18) (Q-enzyme) (Starch-branching enzyme)	SBE1 RBE1 Os06g0726400 LOC_Os06g51084 P0017G10.8-1 P0017G10.8-2 P0548E04.28-1 P0548E04.28-2	Oryza sativa subsp. japonica (Rice)	820	3D-structure;Alternative splicing;Amyloplast;Chloroplast;Direct protein sequencing;Glycosyltransferase;Plastid;Reference proteome;Starch biosynthesis;Transferase;Transit peptide
Q02527	MGAT3_RAT	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)	Mgat3 Gnt3	Rattus norvegicus (Rat)	538	Direct protein sequencing;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q02734	SIAT6_RAT	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase (EC 2.4.3.6) (Beta-galactoside alpha-2,3-sialyltransferase 3) (Alpha 2,3-ST 3) (Gal beta-1,3(4) GlcNAc alpha-2,3 sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal III) (ST3GalIII) (ST3N) (Sialyltransferase 6) [Cleaved into: CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase soluble form]	St3gal3 Siat6	Rattus norvegicus (Rat)	374	Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q02742	GCNT1_HUMAN	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2 beta-1,6-N-acetylglucosaminyltransferase) (C2GlcNAcT) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT) (Core 2 GNT) (Leukocyte type core 2 beta-1,6-N-acetylglucosaminyltransferase) (C2GnT-L)	GCNT1 NACGT2	Homo sapiens (Human)	428	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Proteomics identification;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q02745	SIA4A_PIG	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (Alpha 2,3-ST 1) (Beta-galactoside alpha-2,3-sialyltransferase 1) (EC 2.4.3.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Monosialoganglioside sialyltransferase) (EC 2.4.3.2) (ST3Gal I) (ST3GalI) (ST3GalA.1) (ST3O) (Sialyltransferase 4A) (SIAT4-A)	ST3GAL1 SIAT4A	Sus scrofa (Pig)	343	3D-structure;Alternative splicing;Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid metabolism;Membrane;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q04178	HPRT_YEAST	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (Bypass of repression by adenine protein 6)	HPT1 BRA6 YDR399W D9509.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221	3D-structure;Acetylation;Cytoplasm;Glycosyltransferase;Magnesium;Metal-binding;Nucleotide-binding;Nucleus;Purine salvage;Reference proteome;Transferase
Q04446	GLGB_HUMAN	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)	GBE1	Homo sapiens (Human)	702	3D-structure;Acetylation;Disease variant;Glycogen biosynthesis;Glycogen storage disease;Glycosyltransferase;Neuropathy;Phosphoprotein;Proteomics identification;Reference proteome;Transferase
Q04707	PBPA_STRPN	Penicillin-binding protein 1A (PBP-1A) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	ponA SP_0369	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)	719	3D-structure;Antibiotic resistance;Carboxypeptidase;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Secreted;Transferase
Q05603	COBT_SALTY	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	cobT STM2016	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	356	3D-structure;Cobalamin biosynthesis;Glycosyltransferase;Nucleotide-binding;Reference proteome;Transferase
Q05788	PNPH_YEAST	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP1 YLR209C L8167.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311	Acetylation;Glycosyltransferase;Phosphoprotein;Reference proteome;Transferase
Q06203	PUR1_HUMAN	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPAT)	PPAT GPAT	Homo sapiens (Human)	517	4Fe-4S;Acetylation;Allosteric enzyme;Glutamine amidotransferase;Glycosyltransferase;Iron;Iron-sulfur;Magnesium;Metal-binding;Proteomics identification;Purine biosynthesis;Reference proteome;Transferase
Q06321	ATG26_YEAST	Sterol 3-beta-glucosyltransferase (EC 2.4.1.-) (EC 2.4.1.173) (Autophagy-related protein 26) (UDP-glycosyltransferase 51)	ATG26 UGT51 YLR189C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1198	3D-structure;Cytoplasm;Glycosyltransferase;Lipid biosynthesis;Lipid metabolism;Membrane;Phosphoprotein;Reference proteome;Repeat;Steroid biosynthesis;Steroid metabolism;Sterol biosynthesis;Sterol metabolism;Transferase
Q06625	GDE_YEAST	Glycogen debranching enzyme (Glycogen debrancher) [Includes: 4-alpha-glucanotransferase (EC 2.4.1.25) (Oligo-1,4-1,4-glucantransferase); Amylo-alpha-1,6-glucosidase (Amylo-1,6-glucosidase) (EC 3.2.1.33) (Dextrin 6-alpha-D-glucosidase)]	GDB1 YPR184W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1536	Cytoplasm;Direct protein sequencing;Glycogen biosynthesis;Glycosidase;Glycosyltransferase;Hydrolase;Mitochondrion;Multifunctional enzyme;Reference proteome;Transferase
Q07010	HPRT_TRYBB	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8)	HGPRT	Trypanosoma brucei brucei	210	3D-structure;Cytoplasm;Glycosyltransferase;Magnesium;Metal-binding;Nucleotide-binding;Purine salvage;Transferase
Q07537	GALT1_BOVIN	Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form]	GALNT1	Bos taurus (Bovine)	559	Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Lectin;Manganese;Membrane;Metal-binding;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q07806	PBPA_PSEAE	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA PA5045	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	822	3D-structure;Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q07938	MTAP_YEAST	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase) (Multicopy enhancer of UAS2)	MEU1 YLR017W L1595	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337	Cytoplasm;Glycosyltransferase;Nucleus;Purine salvage;Reference proteome;Transferase
Q07977	SIA8B_RAT	Alpha-2,8-sialyltransferase 8B (EC 2.4.3.-) (Sialyltransferase 8B) (SIAT8-B) (Sialyltransferase St8Sia II) (ST8SiaII) (Sialyltransferase X) (STX)	St8sia2 Siat8b Stx	Rattus norvegicus (Rat)	375	Cell membrane;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Nucleotide-binding;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q08047	GLGB_MAIZE	1,4-alpha-glucan-branching enzyme 2, chloroplastic/amyloplastic (EC 2.4.1.18) (Q-enzyme) (Starch-branching enzyme IIB)	SBE1	Zea mays (Maize)	799	Amyloplast;Chloroplast;Direct protein sequencing;Glycosyltransferase;Plastid;Reference proteome;Starch biosynthesis;Transferase;Transit peptide
Q08824	PARP1_ONCMA	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	parp1 adprt	Oncorhynchus masou (Cherry salmon) (Masu salmon)	135	ADP-ribosylation;Allosteric enzyme;Chromosome;Cytoplasm;DNA damage;DNA repair;DNA-binding;Glycosyltransferase;Immunity;Innate immunity;Isopeptide bond;NAD;Nucleotidyltransferase;Nucleus;Repeat;Transcription;Transcription regulation;Transferase
Q08834	MGT5A_RAT	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]	Mgat5	Rattus norvegicus (Rat)	740	Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09140	UGGG_SCHPO	UDP-glucose:glycoprotein glucosyltransferase (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UGT)	gpt1 SPBPJ4664.06	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	1448	Direct protein sequencing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Reference proteome;Signal;Transferase
Q09199	B4GN2_MOUSE	Beta-1,4 N-acetylgalactosaminyltransferase 2 (EC 2.4.1.-)	B4galnt2 Galgt2 Ggm3	Mus musculus (Mouse)	510	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09200	B4GN1_MOUSE	Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)	B4galnt1 Galgt Galgt1 Ggm2	Mus musculus (Mouse)	533	Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Lipid metabolism;Membrane;Reference proteome;Signal-anchor;Sphingolipid metabolism;Transferase;Transmembrane;Transmembrane helix
Q09324	GCNT1_MOUSE	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase (EC 2.4.1.102) (Core 2 beta-1,6-N-acetylglucosaminyltransferase) (C2GlcNAcT) (Core 2-branching enzyme) (Core2-GlcNAc-transferase) (C2GNT) (Leukocyte type core 2 beta-1,6-N-acetylglucosaminyltransferase) (C2GnT-L)	Gcnt1	Mus musculus (Mouse)	428	3D-structure;Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Nucleotide-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09326	MGAT2_RAT	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.143) (Beta-1,2-N-acetylglucosaminyltransferase II) (GlcNAc-T II) (GNT-II) (Mannoside acetylglucosaminyltransferase 2) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II)	Mgat2 Gnt2	Rattus norvegicus (Rat)	442	Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Manganese;Membrane;Metal-binding;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09327	MGAT3_HUMAN	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)	MGAT3 GGNT3	Homo sapiens (Human)	533	Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Proteomics identification;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09328	MGT5A_HUMAN	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase V) (GlcNAc-T V) (GNT-V) (Mannoside acetylglucosaminyltransferase 5) (N-acetylglucosaminyl-transferase V) [Cleaved into: Secreted alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A (Secreted beta-1,6-N-acetylglucosaminyltransferase V) (Secreted GNT-V)]	MGAT5 GGNT5	Homo sapiens (Human)	741	3D-structure;Direct protein sequencing;Disulfide bond;Glycoprotein;Glycosyltransferase;Golgi apparatus;Membrane;Proteomics identification;Reference proteome;Secreted;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
Q09332	UGGG_DROME	UDP-glucose:glycoprotein glucosyltransferase (UGT) (dUGT) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase)	Uggt GT UGGG Ugt CG6850	Drosophila melanogaster (Fruit fly)	1548	Direct protein sequencing;Endoplasmic reticulum;Glycoprotein;Glycosyltransferase;Reference proteome;Signal;Transferase
