protein_id,sequence_hash,sequence_length,cluster_id,pc1,pc2,pc3
S7QFH0,ba698c09679c47d408a5bb32b2b8bed33c1623d7682413bb8a6b633f6b7fb203,552,1,0.3147044,0.030269872,-0.17105146
U3AQ99,25bbbd8845f1866e99f8949e1db9b0e1d4139d745ddf5d0c715570c1876725d7,353,3,0.20204847,0.08665785,0.09611583
U3EEK3,39a71e58f9126e5d31191da9153f6e4ea5ae22adf8598ee3a05002deab9a1ccb,333,0,-0.28454432,-0.1696214,0.03811919
U5WJ21,2d1456619b032bbc730b704506bd7bf6436a9e0a8af10eca87aa030eb6f571ba,265,6,-0.3446215,0.24077135,-0.04877483
V3Z6D4,008abe622547fd5efa05b669f0d1954f4b437a8cf922fb08944b086cc030f71e,318,0,-0.1782595,-0.026471738,0.015175238
V3ZT94,7314fd80ec2c5cc68b955263d19191d316736f19c8b1a253f6d35d67bd4d269a,391,3,0.2617284,-0.100532636,-0.075131595
V9KJX6,07b3862a2d26d4d21c102abe05d3c9450af6f1be4408fe284d60812b39baaf1a,598,3,0.0028689338,-0.16928875,0.017416941
V9XF54,adb231b3f1cc5e056fe97399d16fe67bd35c25a39c8bd7d13fb36f9dd8197d37,258,6,-0.42892832,0.22214139,-0.029530978
W2TMY2,f604ab0d8a5d72411202277236f3cb9366f81bcba876a1e0be4329216e56e026,421,1,0.3646817,0.0067745615,-0.0588845
W5NKI9,1734bdc0e6a3aa49a26ce8639c2969a66ca4095294e0e2be432d583adcda6619,304,0,-0.109253176,-0.057192117,0.10458119
W5UEU1,87809254911a2667fef282f922bcf4fce722ff23f93acdf25edaedfca85b5496,306,0,-0.111844234,-0.052594252,0.1226835
W6URQ0,b940f18275b7eca31c7d20fc1543217ed42b0afaa12736877401c8fe7bb5c42f,552,1,0.41694713,0.15450118,-0.03876574
W8BV94,6dcbb7e5d0c76b24633f532211c411ecede01cdf77f1bce1b6b38f3a2cc523d6,318,3,0.11277486,-0.101059966,-0.014256174
X5DSD5,e9be96ad5a109953046b4d82dcfdd70dadfac6e62a33c76024233775610714b3,270,6,-0.23180677,0.24276201,-0.09978968
A0A022Q1P8,ee6f799f77f9f667cf1e5761243f7a9e9091612b994b7832033c3b83aba71030,326,0,-0.16643336,-0.18396404,0.013774942
A0A022QIG6,36a2ebe138792e6b106a2a229ac7ab8777c9a3fc1e045930bd9b9346341929fc,329,0,-0.10602443,-0.18361384,0.0023897195
A0A022RF64,149bf1ce07dbe441ac5ffc4f22b08edcb8e0fae142aa8c1c021ebb650260c186,335,0,-0.24247967,-0.086150706,0.07962859
A0A022S5Y9,137c7627e77c754509f5de28b1cb9caaafea1e3b52a9333aa45079882d10dc70,338,0,-0.17767353,-0.13733423,0.04727389
A0A058ZVR2,57bb1b22325684ae9f7426db5609ea6557b1b14c9cfdaf236853929abd4d661e,335,0,-0.13357525,-0.16040629,0.027098665
A0A058ZVS3,4721f6ceaae30816a53340e9fb8ef2961a109d3c50eeaf6dc3dfdc5f6cbd5b80,338,0,-0.20692115,-0.21576156,0.016476763
A0A058ZWY0,ce0ef8bf4bba5b5692ca57fe9039734d8880b516e3417b37ed9ec5027373cd62,332,0,-0.17019589,-0.20091873,0.01247717
A0A058ZWY3,23a5e79e75d1b0e6e73ecbdbb63d3176870a578d1bbe363ebd01d7fa0deab7cf,337,0,-0.14197722,-0.18526651,0.0030598831
A0A058ZXX0,b5c0c34badf21f0709c80811547a2025af10e7e366ea43b02204cbc2f672214c,337,0,-0.15690689,-0.20369749,0.0062148557
A0A059A7Q6,37e080a261b0c99769aeec052f7997f4a9dec1e8f2b91f45f0e773e2fac59bf6,337,0,-0.1578788,-0.16392492,0.042079903
A0A059B2F6,e4cfb9d8cf2a7a7ef781a76d64bf8bf014838b0e9b0f0d53cb82a832489d01e7,340,0,-0.08364532,-0.12994176,0.036459126
A0A059D2N0,f1849b99fa2ef3ddbfd859654a8b167ce295e5603e65912ad9803bcdbb7223e7,332,0,-0.18487017,-0.19602428,0.016488848
A0A059D332,ea9c36ac499cb5e81c58f4a99ec52a04b52f57bd5dfdc67b8cec12cc86dceda5,332,0,-0.1972862,-0.20087792,0.017807368
A0A059DAW7,9dcb0648fd36b005717939abab868444798cf4805027c75517e73ec249f3e8af,337,0,-0.14116554,-0.1578484,0.03867982
A0A067JHE5,772c58426a9cc62cfe8ca79b2a67fa5d354deac4b716fb37277aa455a6aca6c7,335,0,-0.17724723,-0.20711839,0.019340632
A0A067JRL9,c078a122d16eb7a475633ff9084282e43796b2cc19967355d27b400ec58b2124,337,0,-0.11919066,-0.1930514,0.018579558
A0A067K822,1e0e4d34687cca14e0ae25b4db70096a09b581817f9a2668710a50b203dc440a,323,0,-0.20321625,-0.20633319,0.00042983695
A0A072U403,23e54fd01e52c26baf3dad0d5cf9f1d09afa9cec87b650da8019795fcd65deed,328,0,-0.14982076,-0.21946248,-0.012808859
A0A078HIV2,fadb478b680d85b31188bc1b7cc7f6b8addfa0897fb118eab86bab1bd745f590,338,0,-0.1926223,-0.20458019,0.029653177
A0A078IJ67,2ad392e690156d17769a99fc8ab2bdd7af2372cc6511fef94a0a46fca48dccc2,337,0,0.017154744,-0.14764303,-0.041770056
A0A078J164,3afe00c7d8921364b8c4fabdba2511e85479e7cf82d18a7c40ed43dd6397f2c6,337,0,0.012135598,-0.1552925,-0.028422374
A0A0A0LT16,7146f1b338476b7f4e99fd070bbd4d6493681a86755f3063306c8231e9f3d6dc,326,0,-0.17228283,-0.20474488,0.031590365
A0A0D2PH60,0316899523ee102978d6a4a701410f54b405d2ca589e065b55843983acaa1386,330,0,-0.19246057,-0.22044387,0.009777506
A0A0D2PRQ3,43c94ffa3a13b80861ab67231f861a695160cf8ae44af7a1d306a3add8202255,337,0,-0.20531008,-0.18000937,0.041485287
A0A0D2QHC6,afa691c41750c5230289d1a5e2c888789e0d3b3d89754023ab64bf1c4eba107b,332,0,-0.1729953,-0.23739494,0.00082299294
A0A0D2QR82,eb6e7f92d70207982f42a8c763e3ad803062533e481f1fdfc99d443cb24a8c20,336,0,-0.19395797,-0.19840683,0.040489435
A0A0D2SDD0,ad2d2ba01c09577a5fd7e9f175ef14653f2c98aec15bec84b7c57747054b4474,338,0,-0.2196616,-0.20065343,0.021030137
A0A0D2VI60,e958d64f3fd75978372abec0c1ab81ebb1fc285d48f50e02b586f7eb30c3c007,342,0,-0.11137632,-0.1330924,0.011924455
A0A0D3C6N9,b85f11fe3e222d00686a303ee904ff7a16063f1f6788b473a2c5c9f2cfc2e033,342,0,-0.159593,-0.2021047,0.022189138
A0A0K0WVS6,7aa6674499b7bcabf2bee77ac1035a685e53d4708fef4acf62a411952342ad47,326,0,-0.14728828,-0.21603784,-0.011881921
A0A0L9TYJ0,209fd839ce348ac8b0c68352ffd7d53751d7f158656efc3b1facf778c2ce2b32,328,0,-0.13857746,-0.22569971,0.0020286387
A0A0L9U9H4,09b4fdb9b2e6f66f7bc6d3145277ea9c0873448816dcf85a4c63f09db6a0161a,335,0,-0.19675447,-0.18044077,0.051682197
A0A0L9U9S7,4efcd51263dc5381101fa98590f83fba7f76cb886a8e8820630c48fbb3aba85e,328,0,-0.19587825,-0.2610286,0.0111688515
A0A0R4WFX4,617c54f45be978fcc6c3927f06ce65d83ed91e45dfd2774d7db453bb1cb39ca2,343,0,-0.1906405,-0.20886908,0.029267326
A0A162AKE8,4d84a1bb54c980131108da8949dc80c4442a44712601b11bb0e233e1f1622e8f,336,3,0.079405025,-0.09383481,-0.036694616
A0A166CC35,17dd78822ce3c7d9947f13e41289a5590b151d87e67e82d193abb9deb07f6414,344,0,-0.119549826,-0.14024192,0.033631098
A0A166E8V0,9cc316ab4d4880902f23cf29dfc231d069fb82b32642f52fe25c342314c5c863,335,0,-0.10930926,-0.17401597,0.05701299
A0A166HHE9,d2f40891451071e587177bbb5a9fcf1d0d876d51ceb2c08c36db782021414a83,320,3,0.05949151,-0.09848657,-0.041189414
A0A166HHF4,cd38a1e4b315cdcc78a187ba9cc2fcf3b36e1603b8804ba3201af2d46c082f15,344,3,0.14701542,-0.06629331,-0.053660434
A0A175YDK8,362655113f0ac247471fa440a815f4f92a025750475d1d04b042f690258ac28a,337,0,-0.089624256,-0.1924726,-0.0050252033
A0A1D6YD67,cb1b85f0788120c98ab3eb70aef9fc3938c139d32e4bb78212a2e3f77023df55,325,0,-0.12438859,-0.20363641,-0.013024724
A0A1J6J0Z4,6e4959c4b85e0c72602a948fc92a37cb124bff66d540d9923b28d13fd59634d4,343,0,-0.19143534,-0.21490443,0.021344777
A0A1J6KUQ2,9031efdbbacaae49beb76571a2ace203a5f91fb3c5940b998cba9b9ee1b35957,320,0,0.06097496,-0.14985843,-0.049764045
A0A1S2XU71,2a554ec9f25e1eb79915af28247df214b3c2eb23aeb0239fa6119f7ba880af11,328,0,-0.13333441,-0.21625704,-0.015031162
A0A1S3TNA4,346caffff0dc70713fbfd1a87699b4217a195ddd0f99003f4fd868be9246a5bd,335,0,-0.20354447,-0.19502594,0.051955618
A0A1S3TNL4,cabe4091dd103c3f3ae0b002bfe1ed241b56ad539043ca6952bae39b8b81fb5f,328,0,-0.17205086,-0.26941714,0.0066704727
A0A1S3V5Z2,e65fd8b18e81853f8196c38bf0a98afe77de1e77a076e9377769560b96a2196c,323,0,-0.14733443,-0.24145097,0.016678257
A0A1S3XBL7,61d4b0edd2167097d060b2e3b848f141567871ed6a8778839f2a79675313b29b,329,0,-0.10068159,-0.19285434,0.020950362
A0A1S3ZSG3,cf79c47915d04cda5c0926c879c8cf272be76b4d2c444fc35c3ab93b796932b0,321,0,0.03406149,-0.15852617,-0.039146077
A0A1S4BUY4,afb38fc10f30a2cc68f1ec22ca476b274845a0391f363f5fdd27078787b0cccc,249,0,-0.06178866,-0.19830157,0.008720525
A0A1U7USM4,a4d6cefda7a01aee101e0ef106ffa28c0d10b0fc91b449df27e58e448f2d25c8,320,0,0.0356711,-0.16013819,-0.042435564
A0A1U7VFQ8,e0a81aca51b9b7f16b26842294c5117c7bdf5107e4d57315b38bd10990a67c76,343,0,-0.17368093,-0.20634349,0.019614082
A0A1U7XS95,9a328b28c0e103830eed5eb62af1d33fc0c5671de1b62a22a4b3094849fa3d52,344,0,-0.09855887,-0.21796387,0.01055758
A0A1U7Z128,97b241d018e683ebdf83005efdd5d3a0d113560b4952fa5286e1536113cb9b41,328,0,-0.14163159,-0.20662251,0.034313776
A0A1U7ZSJ7,d7fa519521fdd86e21b75e02a334ffb5853533c139672b9ff874fae1ea874ad1,338,0,-0.15648928,-0.17431685,0.034058288
A0A1U8ASR9,f33df0d0d9fdd9de8acce03b1bf7a739f0564ad7e0afdd4ffcf069dd343aea66,340,0,-0.18621378,-0.16302958,0.049724188
A0A1U8FSF9,f5d8d163705a0b949d26f736794b5f6ca305f5c7d0f21b4ad7e9d9768e1114de,329,0,-0.14964823,-0.258717,-0.0043798094
A0A1U8GZ91,575dc81a1ca5d23a95bc1e4c6e66d8b3d773a62e97d451bf719d9e69954a0a6a,340,3,0.097298935,-0.09146187,-0.019158073
A0A1U8HVE3,c79e34f2f7b15b3d526dd8984fd5a65a03d94cf39a77396f409344f9bb27e91c,342,0,-0.104409866,-0.14472713,0.011783864
A0A1U8I7V5,4c5f7a35c1862517e69cf191df6c2f3b10ec2716aa13c2216b249b051090b031,330,0,-0.21029492,-0.23230791,0.009677812
A0A1U8K073,aef49138d2c07eaa06a59f57ce9c6a3366e19986a3ae8a980bd5c904b51e0e64,336,0,-0.16395178,-0.20233762,0.041661993
A0A1U8LW39,05cf492afdd6d888f59c66db12330b730dc81e8be54116db477b4722b44d5c11,332,0,-0.16789052,-0.23699263,-0.0033409523
A0A1U8P087,e00cc162e75708540eef66460bc87ba5165f0a4834ef86668ac499c1c447c1e2,337,0,-0.19972458,-0.18295917,0.027465045
A0A1U8P2H3,79b025a34fc3a39ed555a5f354e5dcfde8aeddcaf63a04cf11fde9b351f16883,337,0,-0.20920616,-0.17919011,0.04382313
A0A2I4HC53,836e7184bf74519e482de58b9554b1bacb51191e4e428bc627a7da8af17e6a39,345,0,-0.15040722,-0.16823591,0.0730178
A0A314KKG9,048a7b855038eeccc8787aacc56fac5dc0f45203dad386142136c77be9c615c4,328,0,-0.13037343,-0.21519798,0.027481783
A0A3B6C2D0,8908297a8a95c7af3781ddbf1344c7e07a34f09c2105bee41b9259584fffd26a,322,0,-0.15026045,-0.08403493,0.04228503
A0A3B6ITQ6,25f30796d25b3efa9a45f2a89af289bde12c682f0f3d35f745c2abd37dc764b1,336,0,-0.19151007,-0.07974026,0.06365884
A0A3Q7FJK9,794dd5f316ad0676b804ebe49097c9ef11779b2a7abbb40dc7934b702d6c551d,322,0,-0.08698452,-0.2436466,-0.02682818
A0A438E6N0,b29f5a441e0fbf381aba761f465b2f58d34807a0aa68f3005f229d89d23c59b8,336,0,-0.15984534,-0.17876387,0.04712872
A0A438F7T0,596ceb319dfe3a3dc664065d179a4fb980514431bc604c7db419c9694094de83,317,0,-0.16573282,-0.17664814,0.009032568
A0A438GHC5,9036a92f2e3b199a82d01174dc9b3337cc675004b0a1a62fcea80c5b529f2147,318,0,-0.166378,-0.17109805,0.009310245
A0A453I7U8,05a930d436372250ceeadf94572f26760079d5931ad3782c326afa2bb725da95,339,0,-0.1551386,-0.067416355,0.06334917
A0A4P1QUX6,d776e34d5d654c1f00c0698838a0e5cfad38ec82c1132a4a5810200d736d2af9,329,0,-0.17991906,-0.23785034,0.0006761737
A0A5S6R7K3,cf5c59ba2929bdff0348a04c61cb863474a1f5ed3a98d6a1702fb767318e01c1,328,0,-0.12797898,-0.05192017,0.06008559
A0A6I9QJS8,8ad734b9199116db22ce4aabb65c3249820fe26620aeb5cbefe9325d1f4b2233,347,0,-0.16033085,-0.09940035,0.10209599
A0A6I9QX75,ccb7ef3fc88acaeb33d47c93f6467b0110c7f9457a41eaaee0cc222339929cdc,340,0,-0.21795505,-0.07360296,0.0948804
A0A6I9RD30,06ee1c9aac691329246aaf322761e0bee82c6e7d997c4dc1f7acb52abff71f0a,349,0,-0.11166658,-0.066077925,0.098835625
A0A6I9RFT5,0836f118beb9994ee90d6c172e0d3c4ce1307dede8f51968282e249021d3aea0,335,0,-0.111897156,-0.1633882,0.0480216
A0A6I9SPJ7,5a58c1556ec530ed6bdc78b5a601596204b80aaae3c5077484e784a33203174f,339,0,-0.12886776,-0.17794827,0.013632299
A0A6I9SPN1,498602729ac7aed6c971b9ee19c7d9a91b187a6dfd3300f3bf42b5b5388588c8,316,0,-0.21040943,-0.22796808,-0.00143463
A0A6I9TFM2,a52774b889b7c15f4aa245b9006194fac8fea5b25270ae2e6c3a0d2d0baf5d65,340,0,-0.17511478,-0.17029414,0.032092057
A0A6I9TPN6,b3a1377863fa01c96e1843cb393f8a407c12fd9d8ec4f0bb0b5376891dc0d793,333,0,-0.17254138,-0.1858349,0.03042772
A0A6I9U3N7,89006a883253026eb9a751a88ea711d3fb0559b8518c38e6c725d658db6f1388,322,0,-0.1977252,-0.18020026,0.03889873
A0A6J0JT65,c5262464421c25a44413ac61faf3a677c4a457c64d2b088e3a0dbf6f54e6631c,336,0,-0.02094169,-0.1620422,-0.022246927
A0A6J0K274,f8181c1a52b0665d4dd40632b5a4b65929d808c8f347ce475cde980c0acc1190,342,0,-0.17519554,-0.19001743,0.03475229
A0A6J0KSH9,72ecace5f5d4be9bbea58ab7f17e8168e882666758ba7123f5565d6bedcca762,335,0,-0.010042811,-0.1559185,-0.035670992
A0A6J0L8X8,a31fbdfd85fefcf5d165fd03daa00b310dfdd255b131f26c51515ba6f9101379,331,0,-0.14486022,-0.21373267,3.353808e-05
A0A6J0M309,39e274c77a46921f842266ce28a0dec82ec6602159792f42d847a36293167bf7,332,0,-0.14239797,-0.1882998,0.021023776
A0A6J0MBD9,34c7622a88d29691f7a2bd84ca3d58a81a7fea91a096f5c074f7a0a26dbcb4a0,338,0,0.021606617,-0.17527004,-0.046633363
A0A6J0MHL0,c9b404b8d4b5edc189dd3788233d0a6130c4985076af62b921e4220b83ceeaa0,356,3,0.09934834,-0.15518823,-0.050158754
A0A6J0P3V4,a36664039c4b4ccbe50e1a892b24c072f9481011dad1a6cbb8118b21c501fa76,336,0,-0.1340308,-0.23703298,0.019330472
A0A6J1DBB0,de978101b1bf44afb299e5cb59d4d0929ca021648db7bb0b09d0024f0214913d,332,0,-0.18284266,-0.18666553,0.026853919
A0A6J1DZ18,06509bcfd1a172ccad3a6e6f35653a3c7e3e0e22277a8edd019a06a58bed7f57,329,0,-0.25450018,-0.1594872,0.07637458
A0A6J1F695,0adce1300e030354f5a1a26c04ef23c71393ec93c7a0ededb351aefd4f19d579,342,0,-0.16257678,-0.14703779,0.07318533
A0A6J1H3Z0,60bab906b978c48478bafe7be884b56ddb93d7080ffe277644612043d101ab29,331,0,-0.10990213,-0.21673374,-0.015747847
A0A6J1HSV7,35463248db74598406911e74a758f8e903a3f204cad0f91f3c6a08ff95a9cbb1,337,0,-0.12075271,-0.15793201,0.024370912
A0A6J1HY44,7cd3807898714ef414325ac318b65587b2a5576ca5612a9b6e2f30b36c86a5c5,325,0,-0.1887922,-0.16550773,0.05435414
A0A6J1J897,7f21926f7d626e4702c2d96a1e571e9780530411434ac5bf729729d4772a56b1,340,0,-0.18538,-0.13541344,0.0858626
A0A6J1KWB6,788f1cb13e613345d2805e502be2a896c4debb4ff64d4e2e8a83c82766f9946a,331,0,-0.10546697,-0.22434162,-0.025154762
A0A6P3Z794,788acd10b7ef4aa1861b4fda104dfdf738b9d955a4c2dd9361224b2ba55da859,340,0,-0.22247037,-0.16936934,0.054529108
A0A6P4AIN4,d23ecea9b14af798fa34823f67b201f8991a97873fe7fe494c404968b914a471,335,0,-0.08350936,-0.18402213,0.00042873836
A0A6P4BKZ7,d5e496c7ddcf40679b4bb29c4f5d65bdb8b92a38b38ae4f63e7aa4d762e0752f,335,0,-0.10083073,-0.2080115,0.04955076
A0A6P4C1B3,2134dea63a2887ec183cb955d76c24a9a40f95658c3751d38f5462e14501e03f,328,0,-0.1789165,-0.22792575,-0.0064438456
A0A6P4DI77,84423243589d5cb533b81287e7eac50dbd2818fa457b2fca5d993eeed3ccbbef,326,0,-0.12874648,-0.2580282,-0.019109959
A0A6P4DIJ7,676e3427d3ae05da92e3a2dfdc2c8fe39663ba60f6c8903d2e817e72b24c108e,334,0,-0.15643416,-0.1842756,0.039513912
A0A6P5RZC4,fd2862b69546f06a3374191fcdbba204eb39cc93d8fba8567eb993d71ad8d359,332,0,-0.14827056,-0.20400389,0.015813902
A0A6P5S7F0,14878a0eed4bf66a3848b475784773a71fd32c77a587e22c2f95f6e04dbb8ae1,339,0,-0.19623986,-0.17715636,0.029558409
A0A6P5SGC1,d68849d417f1fa939eb1b9ce6e6cb774aa1cb7c1d905aaf340b6d28efd449d6e,345,0,-0.17182617,-0.1716563,0.04961938
A0A6P5TD08,e99414570eba8cd2efa64aa060ca9d2beb9f6789513f83d6e3c227a2f1ce5026,338,0,-0.15759361,-0.16877334,0.028211424
A0A6P5WV76,2d7a390707a728211f3d40d91749888dc49419b66b1ecb162f1f7ced409a66c7,338,0,-0.17256203,-0.16934903,0.023783151
A0A6P5Z1K5,48536b6bc8aae58fcc80c43a2e159fa424f6aae80ee91e7880ce73db5bfc2f04,340,0,-0.15044351,-0.18230794,0.013537234
A0A6P5ZZ72,4d99631d9f79905447588a70dad705351b637f91b7dd5e2f77b3c71d1f155f61,336,0,-0.20045356,-0.20971309,0.040485606
A0A6P6A8X1,e45755410ec5bd346f28bed1a22da0e01ba4a81b7217a181e1bae4660ae58a84,328,0,-0.19683833,-0.2357749,0.020226229
A0A6P6AY34,4e251a778406de5b4c1781d5b3c94c812bfea117d0069594a3ed126c49be3d20,336,0,-0.20553087,-0.20975968,0.039191958
A0A6P6BG77,86f5948c44acc964ec18097225f073f1936697250aa83281eca2ce0a1230305d,336,0,-0.07969406,-0.20018929,0.0046176543
A0A7N2LAH2,6d7f9a5ff350b3793ad70296565aebcbafe2ed4c48f3fe772203f958f88c49af,337,0,0.0014309658,-0.18986188,-0.021614369
A0A7N2N3Q9,95cabbf512cdb265c8f60eb3fa8da7d428e9afd810d0747499167b31bb4222a0,336,0,-0.21199764,-0.2098853,0.035057522
A0A7N2R678,d67e1bd6aa43cb34de3dea9af3f0905b1e7dd55af32c07d3672bf4e45ec11ca0,324,0,-0.09236087,-0.20702909,-0.020516565
A0A803KN26,01b89368d9b72354f84222531f727eb5649b3c8f4bfe2ca6a5508a52beaaf220,332,0,-0.16979931,-0.22060475,-0.0022874905
A0A803L4I8,ad012f92c2b95bd2474b39e3c878cd19ff122b5a6ae3c17f8f634a566942eec5,332,0,-0.13976552,-0.20764579,0.0059960876
A0A803M7C9,df17419d264168c043b7c59caf6ddfe521d1f336a10c552e43368447b43e68ca,335,0,-0.13195547,-0.20338407,0.0040780185
A0A804K551,0e8ae1f7bed62e53e2865c1b4abe32e8f992e4c884286646f153d6c15d5049f3,326,0,-0.23924373,-0.12617084,0.10462313
A0A804QI72,f417382f61c44204bd5888084878b920132260c7f3a0011fcf9d5c832231faae,309,0,-0.23180795,0.031600557,0.12687688
A0A816T5L1,a742ea8d3f4cf4d57e19f0107e3d541ca4991362fa898b1e8e8d9da24e4c5db7,338,0,-0.18638274,-0.18727203,0.04238992
A0A816UGX4,cfed09ac060027831e21820ff1d95e3fa9dfbb92d2b9bdd1de15414b8ae4036a,336,0,-0.02675127,-0.16525915,-0.017830947
A0A816V5U8,40174b372033a6b459928f6e56a31c8d692b9ed443a0dd23d3250901a8645bb2,338,0,-0.11972432,-0.23644727,-0.0032991536
A0A822YFQ9,e474ccea66c0ba54983584324c3473f4f3689579bad8fbd5fb6c60574f4bafd0,340,0,-0.13993737,-0.17092668,0.011567289
A0A822YHD6,328fc2a1a2dda99b40cfe86c6ea534507762c324c601de01a17ca1426168cac9,338,0,-0.19045895,-0.18624306,0.033543263
A0A833UEK8,191ca7a103e9478297da186d794b0b8e8275b519249df2efa15cdc961583bdca,334,0,-0.19211622,-0.2189938,0.025266914
A0A833WRN5,23d3f70a3f4650bb1d23ebcdb374a876657afd5d0ae52e5986af611854fbb84c,385,0,0.004594631,-0.13405062,0.040387176
A0A833X997,12f8f770a5e0f17ee3bf97206618f13b9ad7734344c7ef0ef11c199d0056ae04,341,0,-0.18833351,-0.20439416,0.021463271
A0A833XB99,5988a59ca2841d4107d72604e58120f19d7e6d8bdd0d1d355df672f5bf573841,334,0,-0.21902092,-0.20044845,0.025285875
A0A833XEK0,addf70c85854da5177a6314a9d546097fc950631c6ec4fa4154a08f32447d177,335,0,-0.11211938,-0.15964302,-0.012510202
A0A8B7BLT7,9ddad4161c2e02db0613d9a26eeb219d7cdf9255701ff20085dce812e20d67c4,347,0,-0.14927384,-0.06954116,0.09923818
A0A8B7CLM0,893480a356c049197e4e64b8730ee0e448953fdf3eceb165b783cf5d080b7d42,345,0,-0.21656494,-0.053213757,0.12429215
A0A8B7D3Y7,422fbf75d68080ee6aa027e58aea1edde312cad344be52b767dacb431c15850a,335,0,-0.16388322,-0.15698074,0.081833504
A0A8B8LBB9,fa533628abff8ab814b99fa94fc3256ec32c7170a46cb1b3e409174c6f530a10,329,0,-0.21019891,-0.23143785,0.010400929
A0A8B8M2B8,2489c33760700f32d7701bfd62245da853a20db525743d1e23cd632b2a8d3be8,330,0,-0.05904098,-0.2160725,0.022731861
A0A8B8MA57,237be649f4d271c4ae72fe4de6ff840ea1aa8238ccf145e89718e5c2797c93aa,328,0,-0.1746622,-0.19672303,0.010821106
A0A8B8NF60,b75b21e0bcf6a6ca84f8ff085ddf626e662b139859de50fd1c30746b452a5f33,335,0,-0.15992439,-0.19092749,0.027656501
A0A8B8QD28,6ef9b96ab6bf4ec4f24ea9cb42e77e09b848202f5f581f80e9f0069daac3a134,339,0,-0.11216296,-0.09366074,0.059034493
A0A8B8QLD0,7eeaee76eb267a4294bbadfec7cfe124f6ed835655eaad6238654046d36f12e1,340,0,-0.14424409,-0.081101045,0.058159642
A0A8B8QR69,5f880bea888b5c808c5207bac4df29b28a4da4a7c060754bfd362457af13cb1a,340,0,-0.16633372,-0.15720357,0.039394334
A0A8B8QXC3,77715dfe9303a2eeda9d6087812d6ccfd952632a0d5b095d720b0026374263b4,331,0,-0.22273012,-0.16331653,0.030679058
A0A8B8QZF8,f692bf3df01911ee726cb4f29a378d318aba67ac9cff7b91f35263f6bfec924e,337,0,-0.12071536,-0.19242758,0.0021364382
A0A8B9APZ1,9d06b025316381b75ea647f518dbbbb8aeb86b411f809f401e283cc5675f4fb9,339,0,-0.12953097,-0.1145336,0.07347306
A0A8B9ATF7,9fc7009d711b033a86e4f75da447ed2badbd692c3998b7ed956882917f172bd4,339,0,-0.1223832,-0.11380987,0.07177297
A0A8I6XCG9,b158c3864c3b90d6812136aa2a13ef3e9e15f206a003c876f9219de29e375721,323,0,-0.1272974,-0.065463915,0.03869116
A0A8R7PA36,6bce03a6cb3600429f5905dfb91e28add42fcd62eb08e2cd918a151c6461d27f,322,0,-0.15977956,-0.08102166,0.027301097
A0A8R7PA44,dba5d64eae97b8a908b951976cdb4f5627bf70c28065ec1b37ad6f053751e7b7,322,0,-0.18012153,-0.07883573,0.037942108
A0A921RW74,b4367a120b346e6470bfac820fd846583120f6906eeff7310cb3bea84338386d,338,0,-0.10708173,0.015971007,0.09524048
A0AAD7KQ56,8a381d6a476346a266ceac86dcaa44e1c9b30722ac75c5070b8f939833b9a7d5,328,0,-0.13677508,-0.2224263,0.013063647
A0AAD7LCD5,2e8c57d03724c2b48e02749401fb43db33a191671bacc6ec83dddf456e9b0083,330,0,-0.12571968,-0.19626525,-0.007909766
A0AAD7PFE9,ab3f0ae492380471f93b98a84a291346a675e198cff786365b06ddcbfc0c7ffd,341,0,-0.13509382,-0.21208793,0.025973579
A0AAD7Q1V5,44c2e3a24826837d38dc7a7fd4cced3be42c53f695ff9f7638e6a504aaae5edd,333,0,-0.11114873,-0.17137872,-0.0035698572
A0AAF0XYB0,3f43071d25b32473f418ce1f2f422688a8fd187a28c16dcd718867873cd5fd07,335,0,-0.08007559,-0.17879081,0.0089515345
A0AAJ6TH01,f6a06d635bde6280d0ac456e75a055bef50e23b545849ba4bf033c97e8fa1041,325,0,-0.12714987,-0.2367989,-0.0029967334
A0AAJ6TYJ3,b07f96c09b19813fef629e8294bea1dfa5704a4512a2bb3ed896de783d838ad1,325,0,-0.121885285,-0.18011779,-0.007805937
A0AAJ6V3V5,83bed98d3842bbe14eb378c7f1faf54bb3cbf328065ae8076b96004a67f39335,336,0,-0.22857057,-0.18967591,0.039832357
A0AAJ6XDI9,6628b02ba6677ca0ec1a76fa1e006bf57fa2dd8bf688b0a4e090b3239fbece56,336,0,-0.11198175,-0.18782647,0.033271544
A0AAJ6XLY8,4a597314ad1653bb72bdbf73f3c171cec8c59bf2fe6c4146437fae88523e1720,334,0,-0.13117005,-0.19526775,0.012141249
A0AAJ6XWY8,63f5939d23296722cb7ebf2ec5815c8792fe1b5f83e520e55cbdd232b7f2084a,337,0,-0.10821273,-0.19575343,0.012555886
A0AB32V6S4,a6fe42c093d26bb5f67c77372c2f9318d270688b0e7ad5a5e4f03a18d9543ec3,348,0,-0.15961891,-0.17152028,0.02808611
A0AB32VKZ1,6927647ca2456afb7705b0f71400850c3ed2a779da49574836a1e66706750faf,336,0,-0.13086422,-0.19857696,0.030935962
A0AB32W472,1a90e28ecbc8aea74b0a5a053524d8612f652945f8dade08a8f5c498adf0b55d,318,0,-0.23041691,-0.18559572,0.01719306
A0ABQ8DQD1,28f1fb392f1f6efc4351797cb42c4648339d50d579d6f86584df6dd08d6ed5ad,342,0,-0.15045893,-0.20491946,0.029785769
